Timestamp,Team Name,Team Captain Discord Handle,Choose your map preferences [The Reef],Choose your map preferences [Musselforge Fitness],Choose your map preferences [Starfish Mainstage],Choose your map preferences [Humpback Pump Track],Choose your map preferences [Inkblot Art Academy],Choose your map preferences [Moray Towers],Choose your map preferences [Port Mackerel],Choose your map preferences [Sturgeon Shipyard],Choose your map preferences [Manta Maria],Choose your map preferences [Kelp Dome],Choose your map preferences [Snapper Canal],Choose your map preferences [Blackbelly Skatepark],Choose your map preferences [MakoMart],Choose your map preferences [Walleye Warehouse],Choose your map preferences [Shellendorf Institute],Choose your map preferences [Arowana Mall],Choose your map preferences [Goby Arena],Choose your map preferences [Piranha Pit],Strike a ranked mode (optional),Do you prefer to play Splat Zones only?,Would you like Turf War to be included in your map lists along other modes?,Team Captain's Nintendo Switch Friend Code,Choose your map preferences [Camp Triggerfish],Choose your map preferences [Wahoo World]
4/29/2018 17:03,Goat Trainers,Railgun #1490,Neutral,Neutral,Preferred,Preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,Neutral,Preferred,Not preferred,Neutral,Neutral,Not preferred,Not preferred,Preferred,Preferred,Clam Blitz,Yes,No,4676-8721-7694,Neutral,Neutral
4/29/2018 17:05,Rising Moon,binx#7648 ,Not preferred,Not preferred,Not preferred,Not preferred,Preferred,Not preferred,Not preferred,Neutral,Preferred,Preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Not preferred,Neutral,Preferred,Rainmaker,No,No,2295-5418-6408,Neutral,Neutral
4/29/2018 17:06,Kairos,Redvekh#4015,Neutral,Neutral,Neutral,Not preferred,Not preferred,Preferred,Neutral,Not preferred,Neutral,Neutral,Preferred,Neutral,Not preferred,Neutral,Preferred,Preferred,Preferred,Not preferred,Clam Blitz,Yes,No,7130-6194-3636,Preferred,Neutral
4/29/2018 17:07,4th Legion,Adrianibso#8993,Preferred,Neutral,Neutral,Not preferred,Preferred,Not preferred,Neutral,Neutral,Preferred,Neutral,Not preferred,Not preferred,Preferred,Preferred,Not preferred,Neutral,Neutral,Neutral,Clam Blitz,No,No,6069-1252-0916,Neutral,Neutral
4/29/2018 17:38,no christmas without caviar,benni_ncwc#2910,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Preferred,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Preferred,Preferred,Preferred,Neutral,Neutral,,Yes,Yes,7198-9557-9777,Preferred,Neutral
4/29/2018 17:55,Tyrant Ink,τι★SrXmaxX#3747,Not preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Preferred,Neutral,Neutral,Not preferred,Neutral,Neutral,Neutral,Not preferred,Not preferred,Not preferred,Neutral,Clam Blitz,No,No,1613-9657-8301,Not preferred,Neutral
4/29/2018 19:08,Dynasty,TTek4Lyfe#0619,Preferred,Preferred,Preferred,Neutral,Preferred,Neutral,Preferred,Preferred,Neutral,Neutral,Neutral,Preferred,Neutral,Preferred,Neutral,Preferred,Neutral,Neutral,,No,No,4475-3456-3215,Preferred,Neutral
4/29/2018 19:29,Instant Ramen,🖤Bulby💙#0484,Preferred,Preferred,Preferred,Preferred,Preferred,Not preferred,Neutral,Preferred,Preferred,Not preferred,Neutral,Preferred,Preferred,Neutral,Not preferred,Not preferred,Neutral,Not preferred,Tower Control,No,No,5961-5993-7684,Not preferred,Neutral
4/29/2018 20:44,Emphatic,Karnage#7312,Not preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Not preferred,Preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Neutral,Preferred,Preferred,Neutral,Preferred,Rainmaker,Yes,No,4905-0402-4226,Neutral,Neutral
4/29/2018 21:25,Pandora,Kaito#1051 ,Neutral,Preferred,Not preferred,Neutral,Preferred,Not preferred,Not preferred,Preferred,Preferred,Preferred,Neutral,Neutral,Not preferred,Preferred,Neutral,Neutral,Neutral,Neutral,Clam Blitz,No,No,3231-4248-7525,Preferred,Neutral
4/29/2018 21:53,Inkantation,Regime#8405,Preferred,Preferred,Preferred,Preferred,Preferred,Not preferred,Preferred,Preferred,Preferred,Not preferred,Neutral,Neutral,Preferred,Preferred,Not preferred,Preferred,Preferred,Preferred,Clam Blitz,No,No,4694-1988-9961,Preferred,Neutral
4/29/2018 22:00,Divine Nerd Squad,Ricehead84#2624,Neutral,Neutral,Preferred,Preferred,Not preferred,Not preferred,Not preferred,Neutral,Preferred,Not preferred,Not preferred,Preferred,Preferred,Neutral,Preferred,Not preferred,Not preferred,Preferred,Rainmaker,No,No,0018-7618-9698,Preferred,Neutral
4/30/2018 0:23,Killer Bees,Penguin#4994,Preferred,Preferred,Preferred,Neutral,Preferred,Not preferred,Preferred,Preferred,Neutral,Not preferred,Not preferred,Not preferred,Preferred,Preferred,Not preferred,Neutral,Not preferred,Not preferred,,Yes,No,6204-7191-1441,Not preferred,Neutral
4/30/2018 1:00,Gemini,FM360#2028,Preferred,Preferred,Preferred,Preferred,Preferred,Not preferred,Preferred,Preferred,Preferred,Neutral,Not preferred,Preferred,Preferred,Preferred,Neutral,Neutral,Not preferred,Neutral,Clam Blitz,No,No,8126-4079-4706,Preferred,Neutral
4/30/2018 3:29,Blooper Ink,Baggage#1214,Not preferred,Neutral,Not preferred,Preferred,Preferred,Not preferred,Neutral,Not preferred,Not preferred,Neutral,Preferred,Neutral,Not preferred,Preferred,Not preferred,Neutral,Not preferred,Preferred,,No,No,6220-5960-5237,Neutral,Neutral
4/30/2018 4:25,Chīmuinku,Ant#9115,Neutral,Neutral,Neutral,Preferred,Preferred,Neutral,Preferred,Not preferred,Not preferred,Neutral,Preferred,Preferred,Not preferred,Preferred,Not preferred,Preferred,Preferred,Preferred,Clam Blitz,No,No,2627-3242-7131,Preferred,Neutral
4/30/2018 6:24,Seafood Sorbet,Primopolitan#2917,Preferred,Neutral,Not preferred,Neutral,Preferred,Not preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Not preferred,Neutral,Neutral,Neutral,Clam Blitz,No,No,6334-7665-4311,Not preferred,Neutral
4/30/2018 6:35,Nitro,Flurry#6544,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Not preferred,Neutral,Neutral,Not preferred,,No,No,0999-0377-5580,Neutral,Neutral
4/30/2018 9:12,Tekkadan,Grayguard 🔰#8686,Preferred,Neutral,Neutral,Neutral,Preferred,Not preferred,Neutral,Neutral,Not preferred,Preferred,Not preferred,Not preferred,Neutral,Preferred,Not preferred,Preferred,Not preferred,Not preferred,Clam Blitz,No,No,6592-5090-4531,Neutral,Neutral
4/30/2018 16:42,Oblivion,Mario27#1122,Preferred,Neutral,Preferred,Preferred,Preferred,Neutral,Not preferred,Neutral,Neutral,Preferred,Neutral,Not preferred,Neutral,Preferred,Not preferred,Neutral,Not preferred,Neutral,Clam Blitz,No,No,4466-8268-3207,Neutral,Neutral
4/30/2018 16:49,Konton Knights I,Denisu#3572,Preferred,Neutral,Neutral,Not preferred,Preferred,Not preferred,Not preferred,Preferred,Neutral,Preferred,Not preferred,Not preferred,Neutral,Preferred,Neutral,Preferred,Not preferred,Neutral,Clam Blitz,No,No,1131-7768-1128,Neutral,Neutral
4/30/2018 19:18,Red Horizon,Tutal G8r#5372,Neutral,Neutral,Neutral,Neutral,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Neutral,Neutral,Preferred,Clam Blitz,No,No,6782-2192-5325,Neutral,Neutral
4/30/2018 19:39,Endless Oceans,WrongShoe#9733,Not preferred,Neutral,Neutral,Preferred,Neutral,Not preferred,Not preferred,Preferred,Neutral,Neutral,Neutral,Not preferred,Neutral,Preferred,Neutral,Neutral,Preferred,Neutral,Tower Control,No,Yes,6987-7432-8878,Preferred,Neutral
4/30/2018 19:39,☆All Star Squad☆,Absynthex☆#2976,Neutral,Preferred,Neutral,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Neutral,Neutral,Neutral,Preferred,Preferred,Preferred,Preferred,Preferred,Neutral,Clam Blitz,No,No,2775-1411-2715,Preferred,Neutral
5/1/2018 3:02,Team KRYPTIC,Yuma#7833,Not preferred,Preferred,Neutral,Preferred,Preferred,Not preferred,Neutral,Not preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Preferred,Not preferred,Preferred,Neutral,Neutral,Clam Blitz,Yes,No,5223-5119-4620,Neutral,Neutral
5/1/2018 3:48,AllTheWay NA,Søul#9588,Neutral,Preferred,Neutral,Neutral,Neutral,Not preferred,Neutral,Preferred,Neutral,Preferred,Not preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Not preferred,Preferred,Clam Blitz,No,No,7476-7442-6897,Neutral,Neutral
5/1/2018 4:52,ıиκΩOmega,Cheesy Cat (Kai)#9951,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,No,No,2699-9903-2194,Neutral,Neutral
5/1/2018 5:25,Not Your Average,Edgar#5440,Preferred,Neutral,Neutral,Preferred,Neutral,Preferred,Neutral,Neutral,Not preferred,Neutral,Not preferred,Not preferred,Neutral,Preferred,Not preferred,Preferred,Neutral,Neutral,,No,No,2153-3042-0068,Preferred,Neutral
5/1/2018 5:54,Mörder Squid,MS√Edward∞ #9909,Neutral,Neutral,Neutral,Neutral,Preferred,Preferred,Preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Neutral,Neutral,Neutral,Clam Blitz,No,Yes,7565-1132-0044,Not preferred,Neutral
5/1/2018 6:35,Raging ink ,Memomonkey567#3617,Neutral,Neutral,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Neutral,Neutral,Preferred,Clam Blitz,No,Yes,4571-6222-9333,Preferred,Neutral
5/1/2018 20:57,Hadès Extrion,HE⭐Adrien#5334,Neutral,Preferred,Preferred,Not preferred,Neutral,Neutral,Preferred,Preferred,Neutral,Not preferred,Not preferred,Preferred,Neutral,Preferred,Not preferred,Neutral,Not preferred,Preferred,Clam Blitz,No,No,2626-2622-0517,Neutral,Neutral
5/2/2018 10:05,Stay Fresh,∴ Zvehee#5357,Preferred,Neutral,Neutral,Preferred,Neutral,Not preferred,Preferred,Neutral,Neutral,Preferred,Not preferred,Neutral,Not preferred,Preferred,Neutral,Neutral,Not preferred,Neutral,Clam Blitz,No,No,6281-5546-5030,Neutral,Neutral
5/2/2018 20:58,Project,Nyabi#5479,Neutral,Preferred,Neutral,Neutral,Preferred,Not preferred,Preferred,Preferred,Neutral,Not preferred,Not preferred,Preferred,Neutral,Preferred,Not preferred,Not preferred,Not preferred,Neutral,Clam Blitz,No,No,8482-5148-6997,Preferred,Neutral
5/3/2018 7:44,Salty Sisters,§☆Velä#4136,Neutral,Preferred,Preferred,Not preferred,Neutral,Not preferred,Preferred,Preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Neutral,Not preferred,Not preferred,Preferred,,No,No,4179-4687-9293,Neutral,Neutral
5/4/2018 23:13,PriZm,darthyoshi#8681,Neutral,Neutral,Not preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Neutral,Preferred,Not preferred,Neutral,Neutral,Preferred,Clam Blitz,No,No,6024-9916-5408,Neutral,Neutral
5/5/2018 18:58,ClanŁess,Kiiro#6797,Preferred,Preferred,Neutral,Preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Preferred,Not preferred,Neutral,Neutral,Preferred,Clam Blitz,No,No,8184-7165-2812,Preferred,Neutral
5/5/2018 23:00,Komodo,kM Pixel#6503,Preferred,Neutral,Not preferred,Neutral,Not preferred,Not preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Not preferred,Not preferred,Neutral,Clam Blitz,Yes,Yes,1798-8245-6591,Not preferred,Neutral
5/6/2018 16:49,Duck Dolla Bill$,ducksauce#0143,Preferred,Preferred,Not preferred,Preferred,Neutral,Not preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Preferred,Not preferred,Neutral,Neutral,Neutral,Clam Blitz,Yes,No,6545-3451-5226,Neutral,Neutral
5/6/2018 19:42,Wings Of Pegasus,ψ Skylex#7341,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Neutral,,No,No,0696-3180-2815,Neutral,Neutral
5/7/2018 0:51,FireInk,Celori#7599,Neutral,Not preferred,Not preferred,Not preferred,Preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Not preferred,Neutral,,No,Yes,7649-7295-8681,Preferred,Neutral
5/7/2018 2:48,Arctic Fury,ChipsAhoy#3743,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Preferred,Neutral,Neutral,Not preferred,Neutral,,No,No,6094-4674-5803,Neutral,Neutral
5/7/2018 15:02,Cactus,Zurryto🐬#8081,Preferred,Not preferred,Not preferred,Preferred,Preferred,Preferred,Not preferred,Neutral,Not preferred,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Neutral,Not preferred,Neutral,Rainmaker,Yes,No,7759-2199-3969,Neutral,Neutral
5/7/2018 17:30,Team Olive,Sendou#0043,Neutral,Neutral,Not preferred,Neutral,Preferred,Preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Rainmaker,No,No,0109-3838-9398,Not preferred,Neutral
5/7/2018 19:30,Raging Ink,Memomonkey567#3617,Neutral,Neutral,Not preferred,Preferred,Preferred,Preferred,Not preferred,Not preferred,Not preferred,Not preferred,Not preferred,Preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clam Blitz,No,Yes,4571-6222-9333,Neutral,Neutral
5/7/2018 21:57,Spanish Army,SaJ0rd1#4378,Not preferred,Not preferred,Not preferred,Neutral,Not preferred,Not preferred,Preferred,Not preferred,Neutral,Neutral,Not preferred,Preferred,Neutral,Preferred,Not preferred,Preferred,Preferred,Preferred,Clam Blitz,Yes,No,2489-8166-1112,Preferred,Neutral
5/7/2018 23:24,CrossInk,Hypnos.#7155,Not preferred,Not preferred,Neutral,Preferred,Neutral,Not preferred,Preferred,Not preferred,Not preferred,Neutral,Not preferred,Preferred,Not preferred,Preferred,Not preferred,Preferred,Preferred,Preferred,Clam Blitz,No,No,7431-1514-4721,Preferred,Neutral
5/8/2018 1:39,Pandora,Kaito#1051 ,Preferred,Preferred,Neutral,Preferred,Preferred,Not preferred,Not preferred,Preferred,Preferred,Preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,,No,No,3231-4248-7525,Preferred,Neutral
5/8/2018 3:55,Mörder Squid,MS√Edward∞#9909,Preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Neutral,Preferred,Neutral,Neutral,Preferred,Preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,Clam Blitz,No,Yes,7565-1132-0044,Not preferred,Neutral
5/8/2018 6:35,Seafood Sorbet,Primopolitan#2917,Preferred,Neutral,Not preferred,Preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Not preferred,Neutral,Neutral,Preferred,Clam Blitz,No,No,6334-7665-4311,Neutral,Neutral
5/10/2018 21:50,Octomus Prime,Ryan3kgt#7176,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clam Blitz,No,Yes,1102-4564-7725,Neutral,Neutral
5/12/2018 13:10,Earth Squids,ξs Gσmgσm#0405,Neutral,Neutral,Neutral,Preferred,Preferred,Not preferred,Preferred,Neutral,Neutral,Neutral,Preferred,Preferred,Neutral,Preferred,Neutral,Preferred,Preferred,Preferred,,No,No,3599-4115-4601,Preferred,Neutral
5/12/2018 20:56,Sedna,speX#3661,Preferred,Preferred,Preferred,Preferred,Neutral,Neutral,Preferred,Preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Not preferred,Neutral,Not preferred,Neutral,Rainmaker,No,No,6272-1100-6744,Neutral,Neutral
5/13/2018 21:53,BALLERS,Electro⚡#0081,Preferred,Neutral,Neutral,Neutral,Preferred,Not preferred,Neutral,Neutral,Preferred,Preferred,Not preferred,Neutral,Neutral,Preferred,Neutral,Not preferred,Neutral,Preferred,,No,No,4145-1309-2811,Neutral,Neutral
5/13/2018 23:36,Hexagone,bolas#4534,Neutral,Neutral,Not preferred,Neutral,Preferred,Not preferred,Preferred,Not preferred,Preferred,Neutral,Neutral,Neutral,Preferred,Preferred,Neutral,Not preferred,Preferred,Neutral,Clam Blitz,No,No,0731-8065-1722,Not preferred,Neutral
5/14/2018 10:07,Watch Me Whiprays,шя³Capt.XCuber2#0681,Preferred,Neutral,Preferred,Neutral,Preferred,Not preferred,Preferred,Preferred,Preferred,Preferred,Not preferred,Neutral,Preferred,Preferred,Not preferred,Not preferred,Preferred,Preferred,,No,No,3101-4764-8040,Preferred,Neutral
5/14/2018 16:29,EL Zéphyr,Brybry#0001,Neutral,Preferred,Neutral,Preferred,Preferred,Not preferred,Neutral,Neutral,Neutral,Not preferred,Neutral,Neutral,Preferred,Neutral,Neutral,Not preferred,Neutral,Neutral,,No,No,4435-6893-1699,Neutral,Neutral
5/14/2018 18:39,Peximen,Kaota#0828,Neutral,Preferred,Not preferred,Neutral,Not preferred,Preferred,Preferred,Neutral,Neutral,Not preferred,Not preferred,Neutral,Neutral,Preferred,Not preferred,Neutral,Preferred,Neutral,Clam Blitz,No,Yes,5541-4204-3824,Neutral,Neutral
5/14/2018 20:30,Mörder Squid,MS√Edward∞#9909,Preferred,Preferred,Neutral,Neutral,Preferred,Preferred,Neutral,Not preferred,Preferred,Not preferred,Not preferred,Preferred,Neutral,Neutral,Not preferred,Not preferred,Neutral,Neutral,Clam Blitz,No,Yes,7565-1132-0044,Not preferred,Neutral
5/15/2018 1:42,Chromatic Squids,【CS】AyoAro_#9786,Preferred,Neutral,Preferred,Preferred,Preferred,Not preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Not preferred,Preferred,Not preferred,Preferred,Preferred,Preferred,,No,No,7222-3530-1154,Preferred,Neutral
5/15/2018 2:22,Chromatic Squids,【CS】AyoAro_#9786,Preferred,Neutral,Preferred,Preferred,Preferred,Not preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Not preferred,Preferred,Not preferred,Preferred,Preferred,Neutral,,No,No,7222-3530-1154,Preferred,Neutral
5/15/2018 6:46,Seafood Sorbet,Primopolitan#2917,Preferred,Neutral,Not preferred,Neutral,Preferred,Not preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Not preferred,Preferred,Neutral,Neutral,Clam Blitz,No,No,6334-7665-4311,Neutral,Neutral
5/15/2018 19:35,Hakai,Madara#1019,Neutral,Neutral,Neutral,Neutral,Neutral,Not preferred,Preferred,Neutral,Preferred,Neutral,Not preferred,Not preferred,Neutral,Preferred,Neutral,Neutral,Neutral,Preferred,Clam Blitz,No,No,7766-0541-7798,Preferred,Neutral
5/15/2018 19:56,Team Inkling,Azmil Bin Shaharil#1825,Preferred,Neutral,Not preferred,Preferred,Neutral,Neutral,Preferred,Not preferred,Neutral,Preferred,Preferred,Not preferred,Neutral,Preferred,Not preferred,Not preferred,Preferred,Preferred,Rainmaker,Yes,No,3260-1485-1079,Neutral,Neutral
